IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.20.38.147,443,true,AMS,Europe,Amsterdam,168 мс
104.20.41.180,443,true,AMS,Europe,Amsterdam,170 мс
104.20.38.150,443,true,AMS,Europe,Amsterdam,171 мс
104.20.41.176,443,true,AMS,Europe,Amsterdam,174 мс
104.20.38.156,443,true,AMS,Europe,Amsterdam,174 мс
104.20.41.192,443,true,AMS,Europe,Amsterdam,175 мс
104.20.38.166,443,true,AMS,Europe,Amsterdam,176 мс
104.20.41.190,443,true,AMS,Europe,Amsterdam,177 мс
104.20.38.168,443,true,AMS,Europe,Amsterdam,178 мс
104.20.41.196,443,true,AMS,Europe,Amsterdam,180 мс
104.20.41.209,443,true,AMS,Europe,Amsterdam,181 мс
104.20.38.180,443,true,AMS,Europe,Amsterdam,182 мс
104.20.41.206,443,true,AMS,Europe,Amsterdam,182 мс
104.20.38.176,443,true,AMS,Europe,Amsterdam,186 мс
104.20.41.212,443,true,AMS,Europe,Amsterdam,190 мс
104.20.42.132,443,true,AMS,Europe,Amsterdam,167 мс
104.20.44.46,443,true,AMS,Europe,Amsterdam,168 мс
104.20.45.157,443,true,AMS,Europe,Amsterdam,169 мс
104.20.45.165,443,true,AMS,Europe,Amsterdam,170 мс
104.20.42.116,443,true,AMS,Europe,Amsterdam,170 мс
104.20.45.174,443,true,AMS,Europe,Amsterdam,171 мс
104.20.45.150,443,true,AMS,Europe,Amsterdam,171 мс
104.20.45.144,443,true,AMS,Europe,Amsterdam,172 мс
104.20.45.153,443,true,AMS,Europe,Amsterdam,173 мс
104.20.45.164,443,true,AMS,Europe,Amsterdam,177 мс
104.20.45.189,443,true,AMS,Europe,Amsterdam,177 мс
104.20.45.187,443,true,AMS,Europe,Amsterdam,177 мс
104.20.53.62,443,true,AMS,Europe,Amsterdam,201 мс
104.20.54.32,443,true,AMS,Europe,Amsterdam,203 мс
104.20.53.59,443,true,AMS,Europe,Amsterdam,210 мс
104.20.53.63,443,true,AMS,Europe,Amsterdam,211 мс
104.20.53.66,443,true,AMS,Europe,Amsterdam,221 мс
104.20.50.219,443,true,AMS,Europe,Amsterdam,231 мс
104.20.53.228,443,true,AMS,Europe,Amsterdam,232 мс
104.20.53.69,443,true,AMS,Europe,Amsterdam,240 мс
104.20.53.113,443,true,AMS,Europe,Amsterdam,242 мс
104.20.53.154,443,true,AMS,Europe,Amsterdam,251 мс
104.20.53.77,443,true,AMS,Europe,Amsterdam,259 мс
104.20.57.108,443,true,AMS,Europe,Amsterdam,163 мс
104.20.57.50,443,true,AMS,Europe,Amsterdam,163 мс
104.20.57.111,443,true,AMS,Europe,Amsterdam,163 мс
104.20.58.8,443,true,AMS,Europe,Amsterdam,164 мс
104.20.57.54,443,true,AMS,Europe,Amsterdam,164 мс
104.20.57.75,443,true,AMS,Europe,Amsterdam,165 мс
104.20.57.96,443,true,AMS,Europe,Amsterdam,165 мс
104.20.57.40,443,true,AMS,Europe,Amsterdam,166 мс
104.20.57.38,443,true,AMS,Europe,Amsterdam,166 мс
104.20.57.46,443,true,AMS,Europe,Amsterdam,167 мс
104.20.55.230,443,true,AMS,Europe,Amsterdam,168 мс
104.20.57.99,443,true,AMS,Europe,Amsterdam,168 мс
104.20.57.114,443,true,AMS,Europe,Amsterdam,169 мс
104.20.57.124,443,true,AMS,Europe,Amsterdam,169 мс
104.20.57.39,443,true,AMS,Europe,Amsterdam,170 мс
104.20.57.47,443,true,AMS,Europe,Amsterdam,171 мс
104.20.57.83,443,true,AMS,Europe,Amsterdam,171 мс
104.20.57.44,443,true,AMS,Europe,Amsterdam,171 мс
104.20.55.102,443,true,AMS,Europe,Amsterdam,196 мс
104.20.54.42,443,true,AMS,Europe,Amsterdam,201 мс
104.20.58.12,443,true,AMS,Europe,Amsterdam,168 мс
104.20.58.27,443,true,AMS,Europe,Amsterdam,169 мс
104.20.61.39,443,true,AMS,Europe,Amsterdam,170 мс
104.20.58.22,443,true,AMS,Europe,Amsterdam,170 мс
104.20.58.26,443,true,AMS,Europe,Amsterdam,171 мс
104.20.58.33,443,true,AMS,Europe,Amsterdam,171 мс
104.20.58.40,443,true,AMS,Europe,Amsterdam,172 мс
104.20.58.38,443,true,AMS,Europe,Amsterdam,175 мс
104.20.61.52,443,true,AMS,Europe,Amsterdam,176 мс
104.20.58.42,443,true,AMS,Europe,Amsterdam,177 мс
104.20.61.253,443,true,AMS,Europe,Amsterdam,165 мс
104.20.61.243,443,true,AMS,Europe,Amsterdam,167 мс
104.20.65.70,443,true,AMS,Europe,Amsterdam,168 мс
104.20.65.73,443,true,AMS,Europe,Amsterdam,169 мс
104.20.62.6,443,true,AMS,Europe,Amsterdam,171 мс
104.20.65.74,443,true,AMS,Europe,Amsterdam,173 мс
104.20.65.81,443,true,AMS,Europe,Amsterdam,174 мс
104.20.62.62,443,true,AMS,Europe,Amsterdam,175 мс
104.20.65.96,443,true,AMS,Europe,Amsterdam,176 мс
104.20.68.253,443,true,AMS,Europe,Amsterdam,170 мс
104.20.69.0,443,true,AMS,Europe,Amsterdam,177 мс
104.20.72.201,443,true,AMS,Europe,Amsterdam,174 мс
104.20.72.212,443,true,AMS,Europe,Amsterdam,1315 мс
104.20.82.70,443,true,AMS,Europe,Amsterdam,2190 мс
104.20.170.108,443,true,AMS,Europe,Amsterdam,507 мс
104.20.174.90,443,true,AMS,Europe,Amsterdam,205 мс
104.20.174.87,443,true,AMS,Europe,Amsterdam,207 мс
104.20.174.89,443,true,AMS,Europe,Amsterdam,211 мс
104.20.174.92,443,true,AMS,Europe,Amsterdam,1559 мс
104.20.174.94,443,true,AMS,Europe,Amsterdam,1560 мс
104.20.174.96,443,true,AMS,Europe,Amsterdam,1561 мс
104.20.174.100,443,true,AMS,Europe,Amsterdam,1561 мс
