IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.245.14,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.244.236,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.245.210,443,true,HKG,Asia Pacific,Hong Kong,112 мс
5.10.246.217,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.245.214,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.246.127,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.245.112,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.246.152,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.246.139,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.246.192,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.244.108,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.246.176,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.245.15,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.245.100,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.245.181,443,true,HKG,Asia Pacific,Hong Kong,113 мс
5.10.244.142,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.114,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.245.215,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.119,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.193,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.105,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.107,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.245.114,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.245.200,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.109,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.103,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.245.180,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.100,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.245.203,443,true,HKG,Asia Pacific,Hong Kong,114 мс
